Category,Sub-Asset Class,Fund Name,ISIN
Allocation / Multi-Asset,Asia Pacific ex Japan,JPM Asia Pacific Income Fund,LU0210527791
Allocation / Multi-Asset,Global,JPM Global Income Fund,LU0762807625
Allocation / Multi-Asset,US,JPM US Multi-Asset High Income Fund,LU2925042926
Equity,ASEAN,JPM ASEAN Equity Fund,LU0441851309
Equity,Asia Pacific ex Japan,JPM Asia Equity Dividend Fund,HK0000151891
Equity,Asia Pacific ex Japan,JPM Asia Equity High Income Fund,HK0000055613
Equity,Asia Pacific ex Japan,JPM Asia Growth Fund,LU0169518387
Equity,China,JPM China A-Share Opportunities Fund,LU1255011170
Equity,China,JPM China Fund,LU0210526637
Equity,China,JPM Greater China Fund,LU0210526801
Equity,Europe,JPM Europe Dynamic Fund,LU0955580203
Equity,Global,JPM Global Dividend Fund,LU0329201957
Equity,Global,JPM Global Equity High Income Fund,HK0001099735
Equity,Global,JPM Global Equity Premium Income ETF,IE0003UVYC20
Equity,Global,JPM Global Healthcare Fund,LU0432979614
Equity,Global,JPM Global Research Enhanced Index Equity ETF,IE00BF4G6Y48
Equity,Global,JPM Global Research Enhanced Index Equity Fund,LU2402382688
Equity,Global,JPM Global Select Equity ETF,46654Q740
Equity,Global,JPM Global Select Equity Fund,LU0070217475
Equity,Global,JPM Global Sustainable Equity Fund,LU0210534813
Equity,Japan,JPM Japan Equity Fund,LU0927678507
Equity,Japan,JPM Japan Research Enhanced Index Equity ETF,IE00BP2NF958
Equity,Thematic,JPM Healthcare Leaders ETF,46654Q765
Equity,Thematic,JPM Pacific Technology Fund,HK0000055761
Equity,Thematic,JPM US Tech Leaders ETF,46654Q732
Equity,Thematic,JPM US Technology Fund,LU0210536867
Equity,US,JPM Active Growth ETF,46654Q609
Equity,US,JPM America Equity Fund,LU0210528500
Equity,US,JPM Equity Focus ETF,46654Q781
Equity,US,JPM Equity Premium ETF,46641Q332
Equity,US,JPM Nasdaq Equity Premium Income ETF,46654Q203
Equity,US,JPM US Growth Fund,LU0210536198
Equity,US,JPM US Research Enhanced Index Equity ETF,IE00BF4G7076
Equity,US,JPM US Select Equity Plus,LU0292454872
Fixed Income,Asian Bonds,JPM Asian Total Return Bond Fund,HK0000055597
Fixed Income,Global Bonds,JPM Global Aggregate Bond Active ETF,IE000LHP8TA1
Fixed Income,Global Bonds,JPM Global Aggregate Bond Fund,LU0210533179
Fixed Income,High Yield,JPM Global High Yield Bond Fund,LU0344579056
Fixed Income,High Yield,JPM USD High Yield Bond Active ETF,46654Q633
Fixed Income,Liquidity,JPM APAC Managed Reserves Fund,LU2521021324
Fixed Income,Short Duration,JPM USD Ultra-Short Income ETF,46641Q837
Fixed Income,Unconstrained,JPM Global Bond Opportunities Fund,LU0867954264
Fixed Income,Unconstrained,JPM Income ETF,46641Q159
Fixed Income,Unconstrained,JPM Income Fund,LU1041599405
Fixed Income,US Bonds,JPM Active Bond ETF,46654Q716
Fixed Income,US Bonds,JPM Core Plus Bond ETF,46641Q670
Fixed Income,US Bonds,JPM Global Corporate Bond Fund,LU0408846375
Fixed Income,US Bonds,JPM US Aggregate Bond Fund,LU0210532957
ESG,idk,JPM Global Natural Resources Fund,LU0266512127
Equity,idk,JPM India Fund,LU0210527015
ESG,idk,JPM Climate Change Solutions Active UCITS ETF,IE000O8S1EX4
Fixed income,idk,JPMorgan Inflation Managed Bond ETF,46654Q104
Alternatives,idk,JPMorgan Realty Income ETF,46641Q126
